Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
ERI,40.15,Call,50.00,08/21/20,42,2.00,2.26,2.53,2.31,1509,4022,0.38,98.74%,07/10/20
CCL,16.16,Call,20.00,10/16/20,98,2.01,2.03,2.05,2.05,5915,26970,0.22,98.66%,07/10/20
BBBY,8.19,Call,8.00,09/18/20,70,1.45,1.67,1.89,1.49,1339,429,3.12,98.63%,07/10/20
SONO,15.1,Call,20.00,08/21/20,42,0.65,0.68,0.70,0.65,804,24160,0.03,98.61%,07/10/20
CLF,5.74,Call,6.00,08/21/20,42,0.64,0.66,0.68,0.66,5512,2764,1.99,98.61%,07/10/20
TSLA,1544.65,Call,1400.00,09/18/20,70,325.40,329.7,334.00,331.62,664,1981,0.34,98.37%,07/10/20
CCL,16.16,Call,25.00,09/18/20,70,0.61,0.68,0.75,0.70,526,1052,0.5,98.34%,07/10/20
CCL,16.16,Call,40.00,01/15/21,189,0.79,0.82,0.85,0.83,1168,11098,0.11,98.29%,07/10/20
MRO,5.35,Call,8.00,08/21/20,42,0.10,0.11,0.12,0.12,527,9841,0.05,98.15%,07/10/20
BBBY,8.19,Call,9.00,08/21/20,42,0.73,0.75,0.76,0.78,544,2058,0.26,98.09%,07/10/20
DKNG,32.43,Call,35.00,08/21/20,42,3.10,3.25,3.40,3.30,593,8183,0.07,98.00%,07/10/20
SNAP,25.53,Put,21.00,07/31/20,21,0.42,0.5,0.58,0.61,723,416,1.74,97.81%,07/10/20
LYFT,30.7,Call,45.00,08/07/20,28,0.00,0.3,0.60,0.36,538,279,1.93,97.78%,07/10/20
M,6.77,Call,8.00,08/21/20,42,0.45,0.49,0.52,0.48,1033,11870,0.09,97.77%,07/10/20
CCL,16.16,Call,22.50,09/18/20,70,0.90,0.97,1.04,1.02,2834,1537,1.84,97.58%,07/10/20
CAKE,21.69,Put,25.00,08/21/20,42,4.50,4.7,4.90,4.97,3756,3504,1.07,97.54%,07/10/20
GGAL,11.37,Call,10.00,08/21/20,42,2.15,2.22,2.30,2.20,672,281,2.39,97.44%,07/10/20
HMY,5.82,Put,4.00,08/21/20,42,0.00,0.05,0.10,0.10,527,5227,0.1,97.37%,07/10/20
